Datetime,Date,Temp,RH,DewPt
2017-05-01 13:00:00,05/01/17,21.274,50.192,10.805
2017-05-01 14:00:00,05/01/17,22.132,45.808,10.240
2017-05-01 15:00:00,05/01/17,23.796,40.200,9.781
2017-05-01 16:00:00,05/01/17,24.501,40.237,10.443
2017-05-01 17:00:00,05/01/17,24.338,38.345,9.556
2017-05-01 18:00:00,05/01/17,23.244,36.088,7.687
2017-05-01 19:00:00,05/01/17,21.760,34.236,5.606
2017-05-01 20:00:00,05/01/17,19.268,39.957,5.634
2017-05-01 21:00:00,05/01/17,18.989,39.297,5.154
2017-05-01 22:00:00,05/01/17,17.290,43.037,4.927
2017-05-01 23:00:00,05/01/17,15.585,49.105,5.254
2017-05-02 00:00:00,05/02/17,15.479,50.319,5.497
2017-05-02 01:00:00,05/02/17,14.413,54.476,5.629
2017-05-02 02:00:00,05/02/17,13.503,57.899,5.628
2017-05-02 03:00:00,05/02/17,12.507,62.272,5.688
2017-05-02 04:00:00,05/02/17,11.455,67.506,5.792
2017-05-02 05:00:00,05/02/17,11.651,67.838,6.046
2017-05-02 06:00:00,05/02/17,12.614,65.033,6.393
2017-05-02 07:00:00,05/02/17,14.819,60.968,7.583
2017-05-02 08:00:00,05/02/17,18.025,53.942,8.839
2017-05-02 09:00:00,05/02/17,20.252,44.236,7.981
2017-05-02 10:00:00,05/02/17,21.925,37.046,6.890
2017-05-02 11:00:00,05/02/17,23.266,32.990,6.375
2017-05-02 12:00:00,05/02/17,24.559,30.089,6.122
2017-05-02 13:00:00,05/02/17,25.502,26.913,5.271
2017-05-02 14:00:00,05/02/17,26.557,24.966,5.035
2017-05-02 15:00:00,05/02/17,27.319,22.778,4.307
2017-05-02 16:00:00,05/02/17,27.264,23.019,4.415
2017-05-02 17:00:00,05/02/17,26.232,24.626,4.556
2017-05-02 18:00:00,05/02/17,24.203,27.380,4.427
2017-05-02 19:00:00,05/02/17,22.169,30.677,4.343
2017-05-02 20:00:00,05/02/17,20.008,35.868,4.734
2017-05-02 21:00:00,05/02/17,17.904,43.518,5.622
2017-05-02 22:00:00,05/02/17,16.512,48.326,5.881
2017-05-02 23:00:00,05/02/17,16.179,51.500,6.471
2017-05-03 00:00:00,05/03/17,15.215,55.864,6.731
2017-05-03 01:00:00,05/03/17,14.485,59.103,6.834
2017-05-03 02:00:00,05/03/17,13.884,62.938,7.146
2017-05-03 03:00:00,05/03/17,13.321,66.191,7.311
2017-05-03 04:00:00,05/03/17,12.976,68.254,7.403
2017-05-03 05:00:00,05/03/17,12.664,71.295,7.705
2017-05-03 06:00:00,05/03/17,13.056,74.751,8.731
2017-05-03 07:00:00,05/03/17,17.390,64.980,10.851
2017-05-03 08:00:00,05/03/17,21.668,49.094,10.796
2017-05-03 09:00:00,05/03/17,24.672,38.637,9.919
2017-05-03 10:00:00,05/03/17,26.428,31.441,8.411
2017-05-03 11:00:00,05/03/17,27.317,29.360,8.143
2017-05-03 12:00:00,05/03/17,28.237,27.323,7.819
2017-05-03 13:00:00,05/03/17,28.960,26.806,8.160
2017-05-03 14:00:00,05/03/17,29.109,25.443,7.474
2017-05-03 15:00:00,05/03/17,29.064,25.513,7.492
2017-05-03 16:00:00,05/03/17,28.762,27.325,8.290
2017-05-03 17:00:00,05/03/17,27.846,28.029,7.896
2017-05-03 18:00:00,05/03/17,26.867,30.213,8.194
2017-05-03 19:00:00,05/03/17,22.561,56.097,11.462
2017-05-03 20:00:00,05/03/17,18.150,97.272,17.380
2017-05-03 21:00:00,05/03/17,17.484,99.062,16.963
2017-05-03 22:00:00,05/03/17,17.926,98.600,17.343
2017-05-03 23:00:00,05/03/17,18.086,98.248,17.453
2017-05-04 00:00:00,05/04/17,18.473,97.026,17.667
2017-05-04 01:00:00,05/04/17,18.239,97.109,17.444
2017-05-04 02:00:00,05/04/17,18.287,97.285,17.518
2017-05-04 03:00:00,05/04/17,16.193,99.735,15.827
2017-05-04 04:00:00,05/04/17,17.094,100.000,16.744
2017-05-04 05:00:00,05/04/17,15.760,100.000,15.505
2017-05-04 06:00:00,05/04/17,15.611,100.000,15.385
2017-05-04 07:00:00,05/04/17,15.740,100.000,15.549
2017-05-04 08:00:00,05/04/17,15.531,100.000,15.363
2017-05-04 09:00:00,05/04/17,15.631,100.000,15.486
2017-05-04 10:00:00,05/04/17,15.244,100.000,15.121
2017-05-04 11:00:00,05/04/17,16.219,100.000,16.089
2017-05-04 12:00:00,05/04/17,18.208,100.000,17.982
2017-05-04 13:00:00,05/04/17,18.979,100.000,18.681
2017-05-04 14:00:00,05/04/17,18.192,100.000,18.034
2017-05-04 15:00:00,05/04/17,18.354,100.000,18.243
2017-05-04 16:00:00,05/04/17,19.016,100.000,18.871
2017-05-04 17:00:00,05/04/17,19.704,99.998,19.428
2017-05-04 18:00:00,05/04/17,19.663,99.492,19.219
2017-05-04 19:00:00,05/04/17,19.430,99.081,18.921
2017-05-04 20:00:00,05/04/17,16.907,99.692,16.578
2017-05-04 21:00:00,05/04/17,14.896,100.000,14.743
2017-05-04 22:00:00,05/04/17,14.609,100.000,14.460
2017-05-04 23:00:00,05/04/17,13.263,100.000,13.018
2017-05-05 00:00:00,05/05/17,12.531,100.000,12.260
